Configuration,Accuracy,Accept Recall,Reject Recall,Accept Precision,Reject Precision,Total,In-Dist Acc,Out-Dist Acc
vision/new_fewshot/majority,0.5106,0.7716,0.2518,0.5057,0.5263,1978,0.5218,0.4909
vision/new_fewshot/metareview,0.5032,0.8590,0.1485,0.5014,0.5137,2017,0.5035,0.5027
vision/new_fewshot/calibrated,0.4975,1.0000,0.0000,0.4975,0.0000,1377,0.5005,0.4912
vision/new_fewshot/single,0.5025,0.7322,0.2746,0.5005,0.5080,1379,0.5098,0.4880
vision/new/calibrated,0.5035,0.9960,0.0100,0.5020,0.7143,2010,0.5059,0.4993
vision/new/single,0.5030,0.9722,0.0329,0.5018,0.5410,2010,0.5035,0.5020
vision/original/calibrated,0.5121,0.8697,0.1531,0.5077,0.5393,1976,0.5136,0.5097
vision/original/single,0.5121,0.8697,0.1531,0.5077,0.5393,1976,0.5136,0.5097
clean_images/new_fewshot/majority,0.5011,0.9926,0.0116,0.5000,0.6111,1892,0.5041,0.4956
clean_images/new_fewshot/metareview,0.4987,0.9886,0.0073,0.4997,0.3889,1927,0.4992,0.4978
clean_images/new_fewshot/calibrated,0.5041,1.0000,0.0000,0.5041,0.0000,1458,0.5089,0.4950
clean_images/new_fewshot/single,0.5127,0.9918,0.0275,0.5080,0.7692,1461,0.5199,0.4990
clean_images/new/calibrated,0.4872,0.9988,0.0000,0.4875,0.0000,1759,0.4944,0.4731
clean_images/new/single,0.4866,0.9918,0.0055,0.4871,0.4167,1759,0.4927,0.4747
clean_images/original/calibrated,0.4989,0.9552,0.0575,0.4951,0.5699,1814,0.5017,0.4937
clean_images/original/single,0.4989,0.9552,0.0575,0.4951,0.5699,1814,0.5017,0.4937
clean/new_fewshot/majority,0.6667,0.6667,0.0000,1.0000,0.0000,6,,
clean/new_fewshot/metareview,0.7500,0.7500,0.0000,1.0000,0.0000,4,,
clean/new_fewshot/calibrated,1.0000,1.0000,0.0000,1.0000,0.0000,4,,
clean/new_fewshot/single,0.2500,0.2500,0.0000,1.0000,0.0000,4,,
clean/new/calibrated,0.7000,1.0000,0.0000,0.7000,0.0000,10,,
clean/new/single,0.7000,0.8571,0.3333,0.7500,0.5000,10,,
clean/original/calibrated,0.7000,1.0000,0.0000,0.7000,0.0000,10,,
clean/original/single,0.7000,1.0000,0.0000,0.7000,0.0000,10,,
